DriverNumber,Abbreviation_Race,TeamName_Race,Position_Qualifying,GridPosition_Race,Q1,Q2,Q3,Qualifying_AvgLapTime,Race_AvgLapTime,AvgSpeed,MaxSpeed,AvgThrottle,AvgBrake,AvgRPM,MaxRPM,AvgGear,OnTrack%,Qualifying_AirTemp,Qualifying_Humidity,Qualifying_TrackTemp,EventName,RacePosition
1,VER,Red Bull Racing,1.0,1.0,90.031,89.374,89.179,102.43945454545455,96.57442105263158,208.64772727272728,324,69.796875,0.18892045454545456,9854.642404754944,12368,5.1698333820520315,100.0,18.00380868024799,49.946855624446414,22.812488928255178,Bahrain Grand Prix,1.0
16,LEC,Ferrari,2.0,2.0,90.243,89.165,89.407,101.91550000000001,97.27036842105264,203.47863247863248,325,66.96011396011396,0.21652421652421652,10094.748850936185,12609,5.075426967922977,100.0,18.00380868024799,49.946855624446414,22.812488928255178,Bahrain Grand Prix,4.0
63,RUS,Mercedes,3.0,3.0,90.35,89.922,89.485,108.4540909090909,97.39526315789473,202.35576923076923,325,66.10164835164835,0.20467032967032966,9928.561294998792,12458,5.283256825320126,100.0,18.00380868024799,49.946855624446414,22.812488928255178,Bahrain Grand Prix,5.0
55,SAI,Ferrari,4.0,4.0,89.909,89.573,89.507,100.43436363636364,97.01494736842105,204.03566529492454,332,68.78600823045268,0.20438957475994513,10056.448389600311,12569,5.172729918509895,100.0,18.00380868024799,49.946855624446414,22.812488928255178,Bahrain Grand Prix,3.0
11,PER,Red Bull Racing,5.0,5.0,90.221,89.932,89.537,103.36449999999999,96.96840350877193,204.70432357043236,331,66.15899581589959,0.22594142259414227,9866.513320716262,12295,5.102489445334109,100.0,18.00380868024799,49.946855624446414,22.812488928255178,Bahrain Grand Prix,2.0
14,ALO,Aston Martin,6.0,6.0,90.179,89.801,89.542,107.38077777777778,97.88822807017544,205.05285714285714,326,67.90857142857143,0.18714285714285714,9959.390334214955,12392,5.179754748737677,100.0,18.00380868024799,49.946855624446414,22.812488928255178,Bahrain Grand Prix,9.0
4,NOR,McLaren,7.0,7.0,90.143,89.941,89.614,101.4615,97.42456140350878,204.74612129760226,323,64.73342736248237,0.20874471086036672,10307.203768115942,12751,4.850193236714976,100.0,18.00380868024799,49.946855624446414,22.812488928255178,Bahrain Grand Prix,6.0
81,PIA,McLaren,8.0,8.0,90.531,90.122,89.683,101.2710909090909,97.55831578947368,203.85593220338984,326,64.27966101694915,0.1977401129943503,10123.939888074103,12320,4.983355847163257,100.0,18.00380868024799,49.946855624446414,22.812488928255178,Bahrain Grand Prix,8.0
44,HAM,Mercedes,9.0,9.0,90.451,89.718,89.71,100.35281818181817,97.45729824561403,205.12926136363637,330,65.74005681818181,0.22017045454545456,9822.288432745714,12398,5.355566288336151,100.0,18.00380868024799,49.946855624446414,22.812488928255178,Bahrain Grand Prix,7.0
27,HUL,Haas F1 Team,10.0,10.0,90.566,89.851,90.502,99.93154545454546,98.61382142857143,204.5593451568895,335,65.98226466575716,0.21282401091405184,9933.353795347482,12531,5.112136370258851,100.0,18.00380868024799,49.946855624446414,22.812488928255178,Bahrain Grand Prix,16.0
