DriverNumber,Abbreviation_Race,TeamName_Race,Position_Qualifying,GridPosition_Race,Q1,Q2,Q3,Qualifying_AvgLapTime,Race_AvgLapTime,AvgSpeed,MaxSpeed,AvgThrottle,AvgBrake,AvgRPM,MaxRPM,AvgGear,OnTrack%,Qualifying_AirTemp,Qualifying_Humidity,Qualifying_TrackTemp,Race_AirTemp,Race_Humidity,Race_TrackTemp,EventName,EventYear,RacePosition
44,HAM,Mercedes,1.0,1.0,82.043,81.014,80.486,99.887,88.76225862068966,220.92068429237946,314.0,76.98133748055987,0.1321928460342146,10363.529717306366,12806.0,5.586853596874282,99.83267943687976,23.064835164835145,69.58058608058606,37.59010989010987,23.344860710854892,70.77608069164262,40.43285302593645,Australian Grand Prix,2019,2.0
77,BOT,Mercedes,2.0,2.0,82.367,81.193,80.598,102.11264285714286,88.40215517241379,221.73981191222572,314.0,74.43416927899686,0.13322884012539185,10392.735265611298,12428.0,5.603498407716804,99.83778460112393,23.064835164835145,69.58058608058606,37.59010989010987,23.344860710854892,70.77608069164262,40.43285302593645,Australian Grand Prix,2019,1.0
5,VET,Ferrari,3.0,3.0,82.885,81.912,81.19,102.00636363636364,89.38679310344828,216.34730538922156,309.0,74.12724550898204,0.15119760479041916,10466.65861785649,12613.0,5.507348913638854,99.83384897444711,23.064835164835145,69.58058608058606,37.59010989010987,23.344860710854892,70.77608069164262,40.43285302593645,Australian Grand Prix,2019,4.0
33,VER,Red Bull Racing,4.0,4.0,82.876,81.678,81.32,99.37825,88.79043103448276,220.70324574961361,325.0,70.45595054095827,0.16846986089644514,10348.107297123426,12271.0,5.544894770701222,99.82695968160581,23.064835164835145,69.58058608058606,37.59010989010987,23.344860710854892,70.77608069164262,40.43285302593645,Australian Grand Prix,2019,3.0
16,LEC,Ferrari,5.0,5.0,82.017,81.739,81.442,98.39241666666668,89.40612068965518,219.4754601226994,312.0,74.88343558282209,0.14570552147239263,10304.780906311322,12319.0,5.61214803997627,99.82814916652346,23.064835164835145,69.58058608058606,37.59010989010987,23.344860710854892,70.77608069164262,40.43285302593645,Australian Grand Prix,2019,5.0
8,GRO,Haas F1 Team,6.0,6.0,82.959,81.87,81.826,99.41781818181818,91.72075862068965,215.0772659732541,321.0,69.49925705794948,0.14561664190193166,10363.757821253124,12715.0,5.38291821080755,99.6540166504487,23.064835164835145,69.58058608058606,37.59010989010987,23.344860710854892,70.77608069164262,40.43285302593645,Australian Grand Prix,2019,18.0
20,MAG,Haas F1 Team,7.0,7.0,82.519,82.221,82.099,99.41758333333333,89.9048448275862,215.97268588770865,314.0,70.31714719271623,0.15174506828528073,10546.959110506014,12771.0,5.415203085999546,99.82341213329535,23.064835164835145,69.58058608058606,37.59010989010987,23.344860710854892,70.77608069164262,40.43285302593645,Australian Grand Prix,2019,6.0
4,NOR,McLaren,8.0,8.0,82.702,82.423,82.304,101.00557142857143,90.79401754385965,214.56296296296296,322.0,72.21777777777778,0.1688888888888889,10484.382733549774,12281.0,5.3418080387763505,99.81059519026574,23.064835164835145,69.58058608058606,37.59010989010987,23.344860710854892,70.77608069164262,40.43285302593645,Australian Grand Prix,2019,12.0
7,RAI,Alfa Romeo Racing,9.0,9.0,82.966,82.349,82.314,98.836,90.06507017543859,215.45982142857142,321.0,69.10565476190476,0.18898809523809523,10518.072920027656,13000.0,5.3770914957363445,99.80906092692241,23.064835164835145,69.58058608058606,37.59010989010987,23.344860710854892,70.77608069164262,40.43285302593645,Australian Grand Prix,2019,8.0
11,PER,Racing Point,10.0,10.0,82.908,82.532,82.781,96.3608,90.80331578947369,214.79582712369597,331.0,72.89269746646796,0.16244411326378538,10658.643180467285,13252.0,5.146906862969229,99.8048780487805,23.064835164835145,69.58058608058606,37.59010989010987,23.344860710854892,70.77608069164262,40.43285302593645,Australian Grand Prix,2019,13.0
27,HUL,Renault,11.0,11.0,82.54,82.562,999.0,101.53000000000002,90.04428070175439,215.29821958456972,319.0,71.41246290801188,0.14985163204747776,10335.651498386353,12248.0,5.155232826187183,99.80901672550495,23.064835164835145,69.58058608058606,37.59010989010987,23.344860710854892,70.77608069164262,40.43285302593645,Australian Grand Prix,2019,7.0
3,RIC,Renault,12.0,12.0,82.921,82.57,999.0,101.87375,92.83292857142858,211.75513196480938,317.0,71.08504398826979,0.1436950146627566,10252.77629264861,12138.0,4.972652128033767,99.62493105350248,23.064835164835145,69.58058608058606,37.59010989010987,23.344860710854892,70.77608069164262,40.43285302593645,Australian Grand Prix,2019,19.0
23,ALB,Toro Rosso,13.0,13.0,82.757,82.636,999.0,101.55460000000001,90.81573684210527,214.95678092399405,323.0,72.85692995529061,0.14903129657228018,10262.208100941758,12457.0,5.393526561214227,99.79916221954439,23.064835164835145,69.58058608058606,37.59010989010987,23.344860710854892,70.77608069164262,40.43285302593645,Australian Grand Prix,2019,14.0
99,GIO,Alfa Romeo Racing,14.0,14.0,82.431,82.714,999.0,97.49080000000001,91.19056140350877,215.46142433234422,303.0,75.15578635014836,0.1661721068249258,10347.063054860004,12668.0,5.395037559754154,99.79998857077548,23.064835164835145,69.58058608058606,37.59010989010987,23.344860710854892,70.77608069164262,40.43285302593645,Australian Grand Prix,2019,15.0
26,KVY,Toro Rosso,15.0,15.0,82.511,82.774,999.0,104.576,90.09052631578948,217.13213213213214,328.0,75.74624624624624,0.15165165165165165,10404.006174830653,12828.0,5.391502695728308,99.79176307265155,23.064835164835145,69.58058608058606,37.59010989010987,23.344860710854892,70.77608069164262,40.43285302593645,Australian Grand Prix,2019,10.0
18,STR,Racing Point,16.0,16.0,83.017,999.0,999.0,97.77924999999999,90.07826315789474,217.1216216216216,323.0,72.83933933933933,0.14564564564564564,10358.28292930224,13073.0,5.38505853074016,99.791738979521,23.064835164835145,69.58058608058606,37.59010989010987,23.344860710854892,70.77608069164262,40.43285302593645,Australian Grand Prix,2019,9.0
10,GAS,Red Bull Racing,17.0,17.0,83.02,999.0,999.0,104.0316,90.09640350877193,217.83885542168676,326.0,72.66265060240964,0.16566265060240964,10423.477651829324,12627.0,5.379135563542531,99.78020706807797,23.064835164835145,69.58058608058606,37.59010989010987,23.344860710854892,70.77608069164262,40.43285302593645,Australian Grand Prix,2019,11.0
55,SAI,McLaren,18.0,18.0,83.084,999.0,999.0,96.343,92.77033333333333,208.1919191919192,323.0,67.80375180375181,0.20346320346320346,10150.418563027359,12079.0,5.351828176936845,98.81105398457584,23.064835164835145,69.58058608058606,37.59010989010987,23.344860710854892,70.77608069164262,40.43285302593645,Australian Grand Prix,2019,20.0
63,RUS,Williams,19.0,19.0,84.36,999.0,999.0,98.41133333333333,92.44651785714287,214.2980332829047,320.0,72.50680786686839,0.1437216338880484,10138.819162552569,12530.0,5.268147741817517,99.77623501061449,23.064835164835145,69.58058608058606,37.59010989010987,23.344860710854892,70.77608069164262,40.43285302593645,Australian Grand Prix,2019,16.0
88,KUB,Williams,20.0,20.0,86.067,999.0,999.0,99.2254,94.16747272727274,213.1,323.0,75.96617647058824,0.16323529411764706,10107.98409942429,12960.0,5.135703189253404,99.78206010552879,23.064835164835145,69.58058608058606,37.59010989010987,23.344860710854892,70.77608069164262,40.43285302593645,Australian Grand Prix,2019,17.0
16,LEC,Ferrari,1.0,1.0,88.495,88.046,87.866,100.82933333333334,99.42852631578947,207.6439716312057,333.0,70.91205673758866,0.18014184397163122,9798.31474654378,12372.0,5.238332635106828,99.88994287511137,25.069758064516098,53.094354838709634,28.87298387096776,26.27913204062774,52.74653739612209,28.477469990766313,Bahrain Grand Prix,2019,3.0
5,VET,Ferrari,2.0,2.0,88.733,88.356,88.16,107.27622222222222,99.95373684210527,204.54646324549236,335.0,67.81414701803051,0.18030513176144244,9752.812427071178,12997.0,5.239748291381897,99.89573558544468,25.069758064516098,53.094354838709634,28.87298387096776,26.27913204062774,52.74653739612209,28.477469990766313,Bahrain Grand Prix,2019,5.0
44,HAM,Mercedes,3.0,3.0,89.262,88.578,88.19,105.72272727272728,98.37644642857143,206.8988764044944,331.0,70.04915730337079,0.1952247191011236,9809.11944304647,12843.0,5.227688307330984,99.88458108179005,25.069758064516098,53.094354838709634,28.87298387096776,26.27913204062774,52.74653739612209,28.477469990766313,Bahrain Grand Prix,2019,1.0
77,BOT,Mercedes,4.0,4.0,89.498,88.83,88.256,104.06700000000001,99.37324561403508,205.86741889985896,331.0,68.8095909732017,0.19746121297602257,9851.093389780777,13159.0,5.19377960347068,99.88988516595879,25.069758064516098,53.094354838709634,28.87298387096776,26.27913204062774,52.74653739612209,28.477469990766313,Bahrain Grand Prix,2019,2.0
